Id;Label;City;Latitude;Longitude
518;P9SFPallars164-f6ae;Barcelona;41.399619;2.195882
96486049431;UPC-CN-C6-E104-Turoffner;Barcelona;41.389688;2.113007
2165;BCNNapls292Rd1-984e;Barcelona;41.403601;2.169236
510;P9SFFernandoPoo33-5a11;Barcelona;41.398741;2.205144
513;P9SFLlacuna47-6913;Barcelona;41.400151;2.200024
512;P9SFLaTeixidora-697e;Barcelona;41.402983;2.200895
515;P9SFMariaAguilo108-fc54;Barcelona;41.400486;2.204266
514;P9SFLlatzaret25-AH-f7d1;Barcelona;41.403113;2.201772
517;P9SFMariaAguilo119Rd2-96be;Barcelona;41.400281;2.204856
516;P9SFMariaAguilo119-5638;Barcelona;41.400281;2.204856
6;BCNcrdnyl9Rd2-acae;Barcelona;41.377022;2.131754
1223;GSBCNVPlj5Rd1MALLA-ce18;Barcelona;41.374941;2.127424
1222;GSComteGuell52-61ec;Barcelona;41.376740;2.123377
1221;GSgV-rb-dce0;Barcelona;41.368692411754;2.1409601142301
1220;GS-BCNpisuerga17Rd2;Barcelona;41.376859;2.112433
4181;BCNRamblaRaval29Rd2-090c;Barcelona;41.378787;2.170288
4180;BCNRamblaRaval29Rd1-da53;Barcelona;41.378787;2.170288
4183;BCNRobador30Rd1-fdaf;Barcelona;41.379128;2.170889
4182;BCNRamblaRaval29Rd3-72eb;Barcelona;41.378787;2.170288
4185;GSMagalhaes19-fbdf;Barcelona;41.371767;2.164923
4184;BCNSantPau80Rd1-7710;Barcelona;41.378640;2.163609
179;BCNRobrenyo44-4658;Barcelona;41.381789;2.138362
2197;BCNVistaRicaGSF-4c65;Barcelona;41.430734;2.126198
2199;BCNBruniquer36Rd1-4a57;Barcelona;41.404911;2.161193
174;HWBellchite-da28;Barcelona;41.3735892;2.1029658
173;HWCtraCollblanc157-0758;Barcelona;41.37527;2.11022
172;BCN-GS-JpTarradellas40-6a5f;Barcelona;41.3834842;2.1428667
171;BCNNogueraPallaresa15-ac8f;Barcelona;41.3716;2.1368
2206;BCNTravDalt42gsf-edf4;Barcelona;41.40896568605137;2.154546666973964
2208;BCNgsfMarti62Rd1-029a;Barcelona;;
2209;BCNRabassa62Rd3-fe79;Barcelona;41.409468;2.156426
721;BCNVirgili2-5fbc;Barcelona;41.428021;2.194038
182;BCN-GS-CanBruixa20-RKM5-7bbd;Barcelona;41.383709;2.131892
183;BCN-GS-CanBruixa20-NSM5-e48b;Barcelona;41.383709;2.131892
180;UPC-CN-Omega-cf70;Barcelona;41.388855;2.113945
181;BCN-GS-Salou2bis-3a56;Barcelona;41.375651;2.138436
187;GS-CanVies-b840;Barcelona;41.374100;2.134600
184;GSAvMadrid5-nb-9a57;Barcelona;41.3760686;2.1230911
185;UPC-CN-C6-E206-Alix;Barcelona;;
219602372690;VLDC-PgePocaFarina1-dd6e;Barcelona;41.317013;2.019093
1210;BCNGranVia146Rd1-75a1;Barcelona;41.365565;2.1372245
1211;BCNevaristoarnus5Rd5-02b4;Barcelona;41.382521;2.132299
1216;BCNJocsFlorals148-6a1b;Barcelona;41.371172;2.135921
1214;BCNmasnou24Rd2-8416;Barcelona;41.375948;2.140264
1215;BCNSocors2-389c;Barcelona;41.376920;2.131240
1219;GS-BCNpisuerga17Rd1;Barcelona;41.376859;2.112433
169;UPC-CN-C6-E104-Alix;Barcelona;41.389688;2.113007
164;UPC-CN-C6-E208-9d04;Barcelona;41.389439;2.112966
165;UPC-CN-C6-E208-4964;Barcelona;41.389439;2.112966
93;BCNPasteur41Rd2-4188;Barcelona;41.417851;2.1600444
1127;qMpJ2G2p;Barcelona;;
164711856195;P9SFJoncar3Roof-9614;Barcelona;41.40027;2.202925
162;UPC-CN-D6-116-4a5c;Barcelona;41.3897;2.112763
104277312536;HWErmitaBellvitge16Rd1;Barcelona;41.348013;2.110239
4174;BCNPlDelBonSucces7-47ef;Barcelona;41.381087;2.167273
4176;BCNLaCera51Rd1-7265;Barcelona;41.377818;2.165452
4177;BCNLaCera51Rd2-72e2;Barcelona;41.377818;2.165452
4171;BCNCmtBrll43Rd1-87e5;Barcelona;41.37705;2.162654
4172;BCNElsSalvador24Rd1-fa70;Barcelona;41.378000;2.165017
4178;BCNPeuDeLaCreu8Rd1-090d;Barcelona;41.381542;2.167252
4179;BCNPeuDeLaCreu8Rd2-7242;Barcelona;41.381542;2.167252
1107;GSRajolers10-6e45;Barcelona;41.377661;2.134567
6196;QuesaSanRoque24Rd1-c1de;Barcelona;39.120431;-0.739590
1105;GSConstitucio174-02ed;Barcelona;41.368600;2.132140
722;SCGGeneralitat91Rd1-6231;Barcelona;41.444658;2.210776
1103;GSJBusquets24-50b4;Barcelona;41.369990;2.122910
77635745061;P9SFAlmogavers237-56ac;Barcelona;;
1101;BCNcrdnyl9Rd1-f705;Barcelona;41.377022;2.131754
725;BCNMoli92-4fbc;Barcelona;41.445130;2.181738
225877267718;SBLL-JoanMarti37-dfa0;Barcelona;41.349197;2.034105
1108;BCNevaristoarnus5Rd4-988e;Barcelona;41.382521;2.132299
1109;BCN-GS-CanBruixaRd6-2803;Barcelona;41.383709;2.131892
151;GSAvMadrid5-ns-7369;Barcelona;41.3760686;2.1230911
150;GSConselldeCent12-a1ef;Barcelona;41.3757628;2.1441779
153;UPClab104-tun-c632;Barcelona;41.38969;2.113076
152;GS-RamblaBadal140-NS-11ce;Barcelona;41.3736496;2.1311031
1208;UPC-CN-C6-Terrat-Rocket-bcee;Barcelona;41.389735;2.113125
157;UPC-ETSEIB-NS-7094;Barcelona;41.3848736;2.1152463
156;UPC-CN-C6-Terrat-Alix-e81c;Barcelona;41.389735;2.113125
158;UPC-EETAC-d9f3;Barcelona;41.275294;1.986569
80;SJD-Major22-e20f;Barcelona;41.36473582617;2.0573580583011
31247767108;UPC-CN-D6-105-Rd1;Barcelona;41.389813;2.112669
284642526327;BCNRamonBatlle57AP-6677;Barcelona;;
4169;BCNSantPau32-36ee;Barcelona;41.379716;2.172548
1;BCNJocsFloralsXXXRd1-6a8a;Barcelona;41.37099;2.136345
1110;UPC-CN-C6-E104-TL-WR841N-8a29;Barcelona;;
3187;BCNLluisBonifac2-e25f;Barcelona;41.417151;2.150605
5;BCNsprncd367-6ae5;Barcelona;41.417599;2.187711
1117;HWCtraCollblanc157-Rd2-ee8a;Barcelona;41.37527;2.11022
9;BCNBailen228Rocket5-de35;Barcelona;41.40314395596444;2.163008530743988
228506738965;HW-Prat11-LaFundicio-7d35;Barcelona;41.351853;2.106924
3188;BCNPsgMdColl69-e141;Barcelona;41.417426;2.147425
5160;P9SFLopedeVega128-3842;Barcelona;41.405655;2.202483
144;BCNSantBaltassar25-7fe6;Barcelona;41.3719969;2.1344722
145;BCN-Sagunt66-8971;Barcelona;41.3718567;2.1351918
5164;P9SFPallars272-f7b8;Barcelona;41.404385;2.202175
140;GSgV-nb-207c;Barcelona;41.368692411754;2.1409601142301
5168;P9SFPallars88-7d16;Barcelona;41.39505;2.189836
160;UPC-CN-Vertex-Pangea-NS-1193;Barcelona;41.390435;2.114214
148;BCNfeliucasanova24Rd1-e2d5;Barcelona;41.3746662;2.130183
149;BCNJocsFlorals109-fe4c;Barcelona;41.3721689;2.1357884
77;BCNLaFabraRd5-c9b0;Barcelona;41.432952;2.190794
76;BCNLaFabraRd2-8523;Barcelona;41.432906;2.190874
75;BCNLaFabraRd1;Barcelona;;
74;BCNLaBostikRd1-2bfb;Barcelona;41.424698;2.19276
73;BCNEspai30Rd1-57f0;Barcelona;41.420089;2.190136
72;BCNCoroleu29Rd1-62ba;Barcelona;41.43211;2.187614
71;BCNARicardos10Rd1-5f1f;Barcelona;41.425978;2.189241
70;BCNLlenguadoc17Rack;Barcelona;41.430992;2.188184
79;BCNLlenguadoc17p0-d94d;Barcelona;41.430992;2.188184
78;BCNLlenguadoc10-67fc;Barcelona;41.431168;2.188717
194;BCNSantaCatalina59Rd3-805c;Barcelona;41.3799624;2.1356081
6197;QuesaSanRoque28Rd1-ed09;Barcelona;39.120627;-0.739507
3197;BCNTirso15-8e19;Barcelona;41.418546;2.150385
3195;BCNpsgMdColl70B-c0a5;Barcelona;41.417435;2.147747
3194;qMp-7853;Barcelona;;
3193;BCNPsgMdColl55-e204;Barcelona;41.416803;2.146655
3192;BCNTirso41-e571;Barcelona;41.419356;2.150835
3190;BCNpgTurull--289e;Barcelona;41.413545;2.147472
686;QuesaSanRoque7Rd1-8755;Barcelona;39.120000;-0.739619
3199;BCNvkkRepartidor24bis-e1ad;Barcelona;41.411256;2.149093
3198;BCNvkkPgTurull41Rd1-9227;Barcelona;41.413585;2.148411
